quarter,US03M_1,US02Y,US03Y,US05Y,US10Y,US30Y,inflation_avg,gdp_growth,real_growth,recession
1,6.0408,6.442,4.557,6.2732,6.0603,5.8878,6.03,5.83,-0.2,1
2,6.0375,5.6386,4.557,5.495,5.5322,5.69,6.03,5.79,-0.24,1
3,4.3416,4.392,4.557,4.781,5.1376,5.5636,5.7,5.45,-0.25,1
4,3.2079,3.6022,4.557,4.4264,4.9769,5.5325,5.6,4.86,-0.74,1
5,1.8134,2.9263,4.557,4.138,4.8505,5.3342,5,7.99,2.99,0
6,1.7676,3.2531,4.557,4.4271,5.0989,5.6241,4.4,8.33,3.93,0
7,1.6144,2.0585,4.557,3.1239,4.0871,5.0042,4.37,8.43,4.06,0
8,1.1904,1.7179,4.557,2.9283,3.951,4.8771,3.47,9.34,5.87,0
9,1.0173,1.4513,2.4602,2.6475,3.7439,4.7276,3.43,8.4,4.97,0
10,0.9482,1.8142,2.3136,3.2161,4.3018,5.139,3.13,9.52,6.39,0
11,0.9253,1.7345,2.1829,3.061,4.0997,4.9322,3,9.59,6.59,0
12,1.2917,2.5755,2.9733,3.6759,4.5041,5.2313,3.5,11.64,8.14,0
13,2.0198,2.8029,3.0169,3.4656,4.1594,4.8252,4.03,11.94,7.91,0
14,2.7289,3.572,3.7034,3.9243,4.2679,4.6156,5.53,11.65,6.12,0
15,3.3184,3.9012,3.9325,3.9931,4.1852,4.4219,6.83,11.1,4.27,0
16,4.0985,4.4309,4.4216,4.4215,4.4935,4.6593,8.27,11.09,2.82,0
17,4.7443,4.9256,4.9198,4.9155,4.9766,5.0231,9.93,8.25,-1.68,1
18,5.0169,4.8757,4.8089,4.7758,4.8156,4.9329,10.57,8.22,-2.35,1
19,5.054,4.7475,4.6565,4.6118,4.6376,4.7511,11.43,8.8,-2.63,1
20,4.8574,4.7903,4.7628,4.7719,4.871,5.0116,12.2,8.36,-3.84,1
21,3.6368,3.7862,3.7865,4.01,4.3982,4.7258,11.1,8.38,-2.72,1
22,1.9509,2.1552,2.0951,2.8396,3.6958,4.4399,9.7,7.96,-1.74,1
23,1.7435,2.5198,2.4424,3.2386,3.9329,4.5689,8.73,9.6,0.87,0
24,0.3645,1.2848,1.5882,2.1955,3.1802,3.6818,7.23,10.13,2.9,0
25,0.2008,0.9253,1.3304,1.9106,2.9545,3.7695,6.37,12.65,6.28,0
26,0.1574,1.0393,1.5773,2.4971,3.5308,4.3457,6.07,12.13,6.06,0
27,0.0611,0.8694,1.4018,2.3474,3.5618,4.4573,5.53,10.34,4.81,0
28,0.1452,0.8761,1.3921,2.2749,3.5231,4.4372,5.1,9.79,4.69,0
29,0.1459,0.4818,0.7357,1.4104,2.6892,3.8728,5.83,9.23,3.4,0
30,0.1315,0.6298,1.0395,1.9674,3.3175,4.4816,6.87,10.99,4.12,0
31,0.0445,0.5323,0.895,1.7811,3.1429,4.3321,6.67,12.29,5.62,0
32,0.0122,0.2364,0.3903,0.9557,2.0799,3.2225,6.6,11.89,5.29,0
33,0.0622,0.2833,0.4139,0.8959,2.0177,3.1249,6.6,10.77,4.17,0
34,0.0938,0.2696,0.3686,0.7086,1.6603,2.7705,6.97,13.41,6.44,0
35,0.0916,0.2616,0.3542,0.6953,1.7187,2.8863,7.93,13.06,5.13,0
36,0.0724,0.2448,0.3721,0.7984,1.8888,3.0827,8.93,14.44,5.51,0
37,0.0373,0.3466,0.6616,1.4197,2.5984,3.6364,9.77,14.7,4.93,0
38,0.0576,0.3342,0.6626,1.4893,2.7585,3.7725,10.77,11.13,0.36,0
39,0.0367,0.3951,0.8324,1.6348,2.6464,3.5057,11.77,11.38,-0.39,1
40,0.022,0.4854,0.9445,1.6508,2.4333,3.2007,12.67,9.97,-2.7,1
41,0.0205,0.588,0.983,1.522,2.0761,2.6995,14.3,10.42,-3.88,1
42,0.0189,0.6141,0.9721,1.5389,2.185,2.9018,14.5,7.96,-6.54,1
43,0.0671,0.7392,1.0486,1.53,2.167,2.9316,12.87,7.08,-5.79,1
44,0.2643,0.8441,1.0432,1.3933,1.9352,2.7378,12.63,9.61,-3.02,1
45,0.2806,0.7428,0.8728,1.1724,1.6349,2.4113,11.23,11.99,0.76,0
46,0.3999,0.9593,1.1644,1.5278,2.0332,2.7209,9.8,13.05,3.25,0
47,0.7098,1.2564,1.497,1.9041,2.3917,3.0139,10.87,14.15,3.28,0
48,1.0358,1.3619,1.5061,1.8058,2.2301,2.8167,9.53,9.89,0.36,0
49,1.3077,1.8199,1.9428,2.1935,2.468,2.8605,7.6,4.8,-2.8,1
50,1.8052,2.4058,2.5472,2.7264,2.9063,3.1021,6.77,5.36,-1.41,1
51,2.1212,2.718,2.7936,2.8604,2.9861,3.1376,5.77,3.24,-2.53,1
52,2.4132,2.6265,2.6161,2.6291,2.8019,3.1117,4.5,3.71,-0.79,1
53,2.3085,2.0845,2.0388,2.0681,2.284,2.7422,3.6,6.08,2.48,0
54,1.7838,1.6101,1.5729,1.5664,1.7216,2.1984,3.33,7.41,4.08,0
55,1.0482,1.0691,1.09,1.1474,1.3658,1.8711,2.67,9.59,6.92,0
56,1.4439,1.6982,1.8042,2.0809,2.5244,3.1671,3.33,11.52,8.19,0
57,4.0944,5.2204,5.6304,6.4742,7.2506,7.7839,4.53,12.52,7.99,0
58,3.6334,4.9239,5.4412,6.384,7.1816,7.7953,4.33,12.04,7.71,0
59,3.0944,4.214,4.7036,5.6821,6.6237,7.4617,4.27,10.71,6.44,0
60,3.0178,4.0832,4.5276,5.426,6.2146,7.045,4.1,9.33,5.23,0
61,3.0778,4.0191,4.3627,5.089,5.81,6.6203,3.57,8.24,4.67,0
62,3.0883,4.0398,4.3451,4.9415,5.5686,6.1301,3.77,7.12,3.35,0
63,3.6416,5.109,5.4635,6.0291,6.5584,6.9348,3.33,7.41,4.08,0
64,4.5104,6.168,6.4792,6.9095,7.2967,7.561,3.5,7.12,3.62,0
65,5.5971,7.2491,7.4439,7.6397,7.7697,7.8924,3.1,6.56,3.46,0
66,5.7916,6.3177,6.4162,6.5758,6.7594,7.0911,1.63,5.83,4.2,0
67,5.4938,5.7889,5.8773,6.0054,6.2239,6.598,1.67,5.04,3.37,0
68,5.1657,5.2845,5.3722,5.5468,5.8464,6.2224,1.3,4.8,3.5,0
69,5.1707,6.131,6.2978,6.5058,6.7361,6.9384,2.2,4.75,2.55,0
70,5.1438,5.9477,6.0989,6.2831,6.5154,6.7699,3.8,5.74,1.94,0
71,5.1737,6.0752,6.2156,6.3958,6.5939,6.838,4.2,6.01,1.81,0
72,5.169,6.0563,6.1848,6.3153,6.4383,6.7112,4.47,7.52,3.05,0
73,5.1645,5.7202,5.7734,5.8471,5.9159,6.1833,3.93,7.44,3.51,0
74,5.1282,5.5093,5.5242,5.5724,5.6256,5.9187,3.93,7.99,4.06,0
75,4.9473,5.2034,5.2059,5.1965,5.2363,5.5235,4.1,8.15,4.05,0
76,4.3671,4.4713,4.557,4.4847,4.7269,5.1456,4.27,7.82,3.55,0
77,4.5425,5.184,4.557,5.3146,5.4277,5.7044,4.83,8.63,3.8,0
78,4.8216,5.6772,4.557,5.825,5.9352,6.0955,5.23,8.14,2.91,0
79,5.4744,6.2851,4.557,6.3717,6.3737,6.3161,4.67,7.81,3.14,0
80,5.8201,6.4519,4.557,6.3331,6.0564,5.8922,4.5,6.44,1.94,0
